HostName,#reads,#writes,total_duration
cernvmbl003.cern.ch,194,56,2.96031e+07
cernvmbl003.cern.ch,194,56,2.96034e+07
cernvmbl003.cern.ch,194,56,2.96054e+07
cernvmbl003.cern.ch,194,56,2.96049e+07
cernvmbl003.cern.ch,194,56,2.96052e+07
cernvmbl003.cern.ch,194,56,2.96058e+07
cernvmbl003.cern.ch,194,56,2.96066e+07
cernvmbl003.cern.ch,194,56,2.96046e+07
cernvmbl003.cern.ch,194,56,2.96072e+07
cernvmbl003.cern.ch,194,56,2.96064e+07
cernvmbl003.cern.ch,194,56,2.96063e+07
cernvmbl003.cern.ch,194,56,2.96069e+07
cernvmbl003.cern.ch,194,56,2.96066e+07
cernvmbl003.cern.ch,194,56,2.96068e+07
cernvmbl003.cern.ch,194,56,2.96082e+07
cernvmbl003.cern.ch,194,56,2.96076e+07
cernvmbl003.cern.ch,194,56,2.96081e+07
cernvmbl003.cern.ch,194,56,2.96085e+07
cernvmbl003.cern.ch,194,56,2.96075e+07
cernvmbl003.cern.ch,194,56,2.96092e+07
cernvmbl003.cern.ch,194,56,2.96082e+07
cernvmbl003.cern.ch,194,56,2.9608e+07
cernvmbl003.cern.ch,194,56,2.96086e+07
cernvmbl003.cern.ch,194,56,2.96094e+07
cernvmbl003.cern.ch,194,56,2.96096e+07
cernvmbl003.cern.ch,194,56,2.96097e+07
cernvmbl003.cern.ch,194,56,2.96098e+07
cernvmbl003.cern.ch,194,56,2.96102e+07
cernvmbl003.cern.ch,194,56,2.96098e+07
cernvmbl003.cern.ch,194,56,2.96101e+07
cernvmbl003.cern.ch,194,56,2.96101e+07
cernvmbl003.cern.ch,194,56,2.961e+07
cernvmbl003.cern.ch,194,56,2.96108e+07
cernvmbl003.cern.ch,194,56,2.96115e+07
cernvmbl003.cern.ch,194,56,2.96105e+07
cernvmbl003.cern.ch,194,56,2.96108e+07
cernvmbl003.cern.ch,194,56,2.96115e+07
cernvmbl003.cern.ch,194,56,2.96113e+07
cernvmbl003.cern.ch,194,56,2.96142e+07
cernvmbl003.cern.ch,194,56,2.96133e+07
cernvmbl003.cern.ch,194,56,2.96107e+07
cernvmbl003.cern.ch,194,56,2.96161e+07
cernvmbl003.cern.ch,194,56,2.96133e+07
cernvmbl003.cern.ch,194,56,2.96136e+07
cernvmbl003.cern.ch,194,56,2.96126e+07
cernvmbl003.cern.ch,194,56,2.96109e+07
cernvmbl003.cern.ch,194,56,2.96119e+07
cernvmbl003.cern.ch,194,56,2.96143e+07
cernvmbl003.cern.ch,194,56,2.96157e+07
cernvmbl003.cern.ch,194,56,2.96144e+07
cernvmbl003.cern.ch,194,56,2.9614e+07
cernvmbl003.cern.ch,194,56,2.96152e+07
cernvmbl003.cern.ch,194,56,2.96151e+07
cernvmbl003.cern.ch,194,56,2.96146e+07
cernvmbl003.cern.ch,194,56,2.96171e+07
cernvmbl003.cern.ch,194,56,2.96164e+07
cernvmbl003.cern.ch,194,56,2.96166e+07
cernvmbl003.cern.ch,194,56,2.96173e+07
cernvmbl003.cern.ch,194,56,2.96173e+07
cernvmbl003.cern.ch,194,56,2.9617e+07
cernvmbl003.cern.ch,194,56,2.96174e+07
cernvmbl003.cern.ch,194,56,2.96174e+07
cernvmbl003.cern.ch,194,56,2.96174e+07
cernvmbl003.cern.ch,194,56,2.96173e+07
cernvmbl003.cern.ch,194,56,2.96175e+07
cernvmbl003.cern.ch,194,56,2.96181e+07
cernvmbl003.cern.ch,194,56,2.96183e+07
cernvmbl003.cern.ch,194,56,2.96176e+07
cernvmbl003.cern.ch,194,56,2.96174e+07
cernvmbl003.cern.ch,194,56,2.962e+07
cernvmbl003.cern.ch,194,56,2.96178e+07
cernvmbl003.cern.ch,194,56,2.96203e+07
cernvmbl003.cern.ch,194,56,2.96195e+07
cernvmbl003.cern.ch,194,56,2.96186e+07
cernvmbl003.cern.ch,194,56,2.96193e+07
cernvmbl003.cern.ch,194,56,2.96216e+07
cernvmbl003.cern.ch,194,56,2.96189e+07
cernvmbl003.cern.ch,194,56,2.96212e+07
cernvmbl003.cern.ch,194,56,2.96222e+07
cernvmbl003.cern.ch,194,56,2.96201e+07
cernvmbl003.cern.ch,194,56,2.96205e+07
cernvmbl003.cern.ch,194,56,2.96233e+07
cernvmbl003.cern.ch,194,56,2.96216e+07
cernvmbl003.cern.ch,194,56,2.96232e+07
cernvmbl003.cern.ch,194,56,2.96226e+07
cernvmbl003.cern.ch,194,56,2.96246e+07
cernvmbl003.cern.ch,194,56,2.96259e+07
cernvmbl003.cern.ch,194,56,2.96244e+07
cernvmbl003.cern.ch,194,56,2.96229e+07
cernvmbl003.cern.ch,194,56,2.96239e+07
cernvmbl003.cern.ch,194,56,2.96237e+07
cernvmbl003.cern.ch,194,56,2.96248e+07
cernvmbl003.cern.ch,194,56,2.9624e+07
cernvmbl003.cern.ch,194,56,2.96253e+07
cernvmbl003.cern.ch,194,56,2.96249e+07
cernvmbl003.cern.ch,194,56,2.9626e+07
cernvmbl003.cern.ch,194,56,2.96256e+07
cernvmbl003.cern.ch,194,56,2.96252e+07
cernvmbl003.cern.ch,194,56,2.96258e+07
cernvmbl003.cern.ch,194,56,2.96271e+07
